"clust","lat","long","mobile","elect","bank","wealth","adm0","adm1","label","rural","weight"
164,1.239933,31.396594,0.695652173913043,0,NA,-0.31284347826087,"Uganda","central 2","Uganda DHS 2011",1,33.099438
165,0.863958,32.492785,0.772727272727273,0.363636363636364,NA,0.928552272727273,"Uganda","central 2","Uganda DHS 2011",0,22.756316
166,0.707318,32.524945,0.91304347826087,0.304347826086957,NA,1.00097217391304,"Uganda","central 2","Uganda DHS 2011",0,21.028302
167,0.700849,32.639623,0.695652173913043,0,NA,-0.355937391304348,"Uganda","central 2","Uganda DHS 2011",1,26.481303
169,0.915204,32.673994,0.608695652173913,0.0434782608695652,NA,0.0818486956521739,"Uganda","central 2","Uganda DHS 2011",1,40.444856
172,0.786689,32.570551,0.347826086956522,0.0434782608695652,NA,-0.230414782608696,"Uganda","central 2","Uganda DHS 2011",1,26.685773
175,0.409905,32.055834,0.826086956521739,0.347826086956522,NA,0.931883043478261,"Uganda","central 2","Uganda DHS 2011",0,52.61089
176,0.407359,32.187429,0.565217391304348,0,NA,-0.172600434782609,"Uganda","central 2","Uganda DHS 2011",1,22.784835
178,0.435191,32.087098,0.833333333333333,0.0416666666666667,NA,-0.06047125,"Uganda","central 2","Uganda DHS 2011",1,19.947912
180,0.419909,32.219317,0.56,0.08,NA,-0.093514,"Uganda","central 2","Uganda DHS 2011",1,26.6801
182,0.307526,31.984033,0.6,0.04,NA,-0.1990188,"Uganda","central 2","Uganda DHS 2011",1,23.266675
184,0.569886,31.375182,0.80952380952381,0.0476190476190476,NA,-0.0583619047619048,"Uganda","central 2","Uganda DHS 2011",1,13.945806
185,0.387282,31.272047,0.64,0,NA,-0.258612,"Uganda","central 2","Uganda DHS 2011",1,11.55005
187,0.559676,31.439357,0.478260869565217,0.0434782608695652,NA,-0.46250652173913,"Uganda","central 2","Uganda DHS 2011",1,42.755298
189,0.367059,31.271198,0.666666666666667,0,NA,-0.28712,"Uganda","central 2","Uganda DHS 2011",1,24.446064
191,0.367841,31.840472,0.608695652173913,0,NA,-0.128490434782609,"Uganda","central 2","Uganda DHS 2011",1,27.936582
193,0.465854,31.662434,0.56,0.04,NA,-0.1511044,"Uganda","central 2","Uganda DHS 2011",1,29.501725
195,0.431072,32.750749,1,0.842105263157895,NA,1.82390157894737,"Uganda","central 2","Uganda DHS 2011",0,2.458201
196,0.357579,32.743198,1,0.80952380952381,NA,1.49005714285714,"Uganda","central 2","Uganda DHS 2011",0,9.418542
197,0.42663,33.146853,0.95,0.65,NA,1.437378,"Uganda","central 2","Uganda DHS 2011",0,19.38408
198,0.355982,32.710056,0.947368421052632,0.789473684210526,NA,1.46365526315789,"Uganda","central 2","Uganda DHS 2011",0,8.935909
200,0.248471,32.913428,0.625,0,NA,0.0148283333333333,"Uganda","central 2","Uganda DHS 2011",1,23.502912
